(0.0, 0.0, 40000.0)
(50.0, 0.0, 20000.0)
(66.6666666667, 0.0, 13333.3333333)
(75.0, 0.0, 10000.0)
(80.0, 0.0, 8000.0)
(83.3333333333, 0.0, 6666.66666667)
(85.7142857143, 0.0, 5714.28571429)
(87.5, 0.0, 5000.0)
(88.8888888889, 0.0, 4444.44444444)
(90.0, 0.0, 4000.0)
(90.9090909091, 0.0, 3636.36363636)
(91.6666666667, 0.0, 3333.33333333)
(92.3076923077, 0.0, 3076.92307692)
(92.8571428571, 0.0, 2857.14285714)
(93.3333333333, 0.0, 2666.66666667)
(93.75, 0.0, 2500.0)
(94.1176470588, 0.0, 2352.94117647)
(94.4444444444, 0.0, 2222.22222222)
(94.7368421053, 0.0, 2105.26315789)
(95.0, 0.0, 2000.0)
(95.2380952381, 0.0, 1904.76190476)
(95.4545454545, 0.0, 1818.18181818)
(95.652173913, 0.0, 1739.13043478)
(95.8333333333, 0.0, 1666.66666667)
(96.0, 0.0, 1600.0)
(96.1538461538, 0.0, 1538.46153846)
(96.2962962963, 0.0, 1481.48148148)
(96.4285714286, 0.0, 1428.57142857)
(96.5517241379, 0.0, 1379.31034483)
(96.6666666667, 0.0, 1333.33333333)
(96.7741935484, 0.0, 1290.32258065)
(96.875, 0.0, 1250.0)
(96.9696969697, 0.0, 1212.12121212)
(97.0588235294, 0.0, 1176.47058824)
(97.1428571429, 0.0, 1142.85714286)
(97.2222222222, 0.0, 1111.11111111)
(97.2972972973, 0.0, 1081.08108108)
(97.3684210526, 0.0, 1052.63157895)
(97.4358974359, 0.0, 1025.64102564)
(97.5, 0.0, 1000.0)
(97.5609756098, 0.0, 975.609756098)
(97.619047619, 0.0, 952.380952381)
(97.6744186047, 0.0, 930.23255814)
(97.7272727273, 0.0, 909.090909091)
(97.7777777778, 0.0, 888.888888889)
(97.8260869565, 0.0, 869.565217391)
(97.8723404255, 0.0, 851.063829787)
(97.9166666667, 0.0, 833.333333333)
(97.9591836735, 0.0, 816.326530612)
(98.0, 0.0, 800.0)
(98.0392156863, 0.0, 784.31372549)
(98.0769230769, 0.0, 769.230769231)
(98.1132075472, 0.0, 754.716981132)
(98.1481481481, 0.0, 740.740740741)
(98.1818181818, 0.0, 727.272727273)
(98.2142857143, 0.0, 714.285714286)
(98.2456140351, 0.0, 701.754385965)
(98.275862069, 0.0, 689.655172414)
(98.3050847458, 0.0, 677.966101695)
(98.3333333333, 0.0, 666.666666667)
(98.3606557377, 0.0, 655.737704918)
(98.3870967742, 0.0, 645.161290323)
(98.4126984127, 0.0, 634.920634921)
(98.4375, 0.0, 625.0)
(98.4615384615, 0.0, 615.384615385)
(98.4848484848, 0.0, 606.060606061)
(98.5074626866, 0.0, 597.014925373)
(98.5294117647, 0.0, 588.235294118)
(98.5507246377, 0.0, 579.710144928)
(98.5714285714, 0.0, 571.428571429)
(98.5915492958, 0.0, 563.38028169)
(98.6111111111, 0.0, 555.555555556)
(98.6301369863, 0.0, 547.945205479)
(98.6486486486, 0.0, 540.540540541)
(98.6666666667, 0.0, 533.333333333)
(98.6842105263, 0.0, 526.315789474)
(98.7012987013, 0.0, 519.480519481)
(98.7179487179, 0.0, 512.820512821)
(98.7341772152, 0.0, 506.329113924)
(98.75, 0.0, 500.0)
(98.7654320988, 0.0, 493.827160494)
(98.7804878049, 0.0, 487.804878049)
(98.7951807229, 0.0, 481.927710843)
(98.8095238095, 0.0, 476.19047619)
(98.8235294118, 0.0, 470.588235294)
(98.8372093023, 0.0, 465.11627907)
(98.8505747126, 0.0, 459.770114943)
(98.8636363636, 0.0, 454.545454545)
(98.8764044944, 0.0, 449.438202247)
(98.8888888889, 0.0, 444.444444444)
(98.9010989011, 0.0, 439.56043956)
(98.9130434783, 0.0, 434.782608696)
(98.9247311828, 0.0, 430.107526882)
(98.9361702128, 0.0, 425.531914894)
(98.9473684211, 0.0, 421.052631579)
(98.9583333333, 0.0, 416.666666667)
(98.9690721649, 0.0, 412.371134021)
(98.9795918367, 0.0, 408.163265306)
(98.9898989899, 0.0, 404.04040404)
(99.0, 0.0, 400.0)
(99.0099009901, 0.0, 396.03960396)
(138.356164384, 0.0, 547.945205479)
(139.726027397, 0.0, 547.945205479)
(124.096385542, 0.0, 481.927710843)
(125.301204819, 0.0, 481.927710843)
(141.891891892, 0.0, 540.540540541)
(143.243243243, 0.0, 540.540540541)
(144.594594595, 0.0, 540.540540541)
(196.363636364, 0.0, 727.272727273)
(198.181818182, 0.0, 727.272727273)
(200.0, 0.0, 727.272727273)
(201.818181818, 0.0, 727.272727273)
(203.636363636, 0.0, 727.272727273)
(205.454545455, 0.0, 727.272727273)
(207.272727273, 0.0, 727.272727273)
(209.090909091, 0.0, 727.272727273)
(210.909090909, 0.0, 727.272727273)
(212.727272727, 0.0, 727.272727273)
(214.545454545, 0.0, 727.272727273)
(216.363636364, 0.0, 727.272727273)
(218.181818182, 0.0, 727.272727273)
(257.446808511, 0.0, 851.063829787)
(221.818181818, 0.0, 727.272727273)
(261.70212766, 0.0, 851.063829787)
(179.710144928, 0.0, 579.710144928)
(181.15942029, 0.0, 579.710144928)
(182.608695652, 0.0, 579.710144928)
(184.057971014, 0.0, 579.710144928)
(185.507246377, 0.0, 579.710144928)
(186.956521739, 0.0, 579.710144928)
(188.405797101, 0.0, 579.710144928)
(189.855072464, 0.0, 579.710144928)
(191.304347826, 0.0, 579.710144928)
(192.753623188, 0.0, 579.710144928)
(1914.28571429, 0.0, 5714.28571429)
(180.0, 0.0, 533.333333333)
